	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT2G36690	5	1	2	54	37	38	5	16	47	92	35	52
AT2G36695	0	0	1	0	0	0	0	0	0	2	0	0
AT2G36700	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36710	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36720	204	86	120	100	124	112	96	85	100	174	138	177
AT2G36724	0	0	0	0	0	0	0	0	0	0	0	0
AT2G08820	0	0	0	0	0	0	0	0	0	0	0	0
AT2G08825	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36730	59	27	60	28	24	20	14	17	16	64	45	40
AT2G36740	934	323	634	311	184	573	184	333	450	661	212	360
AT2G36750	44	39	36	73	173	301	431	1287	1856	194	47	222
AT2G36760	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36770	6	7	6	12	26	0	34	110	78	25	9	8
AT2G36780	9	6	25	3	38	14	357	1585	1686	21	29	33
AT2G36792	33	22	57	16	38	32	39	28	28	55	27	53
AT2G36790	211	87	109	275	608	666	473	1213	836	977	478	755
AT2G36800	254	177	123	614	1060	1010	1300	3254	2543	1333	661	1278
AT2G36810	284	174	358	242	350	483	481	485	410	598	229	424
AT2G36815	0	0	0	0	0	0	0	0	0	0	0	0
AT2G08830	0	7	0	15	2	0	0	0	9	12	0	0
AT2G08835	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36830	9256	10838	13872	9259	13627	10397	9665	10074	8294	12085	8775	12690
AT2G36835	2648	1639	1977	488	999	870	374	430	511	1413	375	765
AT2G36840	77	17	32	46	41	19	15	63	76	88	55	71
AT2G36850	507	228	434	447	297	310	258	113	462	456	274	536
AT2G36854	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36860	0	3	0	3	0	0	0	0	0	0	0	2
AT2G36870	423	349	306	177	571	517	640	216	280	478	280	440
AT2G36880	1711	698	974	2680	2082	1698	1437	1020	1793	3209	1376	2744
AT2G36885	43	31	107	14	118	86	120	39	120	134	98	114
AT2G36890	0	0	0	0	4	0	0	10	0	0	0	0
AT2G36895	198	146	239	120	388	181	250	280	251	327	128	184
AT2G36900	78	38	119	96	154	96	164	112	104	90	91	128
AT2G36910	649	148	335	360	129	308	231	98	259	287	155	259
AT2G36920	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36930	609	161	315	366	406	356	626	416	717	448	330	400
AT2G36950	720	384	642	233	273	520	688	1456	865	426	150	442
AT2G08845	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36960	17	25	59	23	50	40	67	52	8	46	23	31
AT2G36970	121	36	74	33	18	24	16	4	31	53	23	61
AT2G36980	2	3	12	0	0	4	3	0	2	3	0	3
AT2G36985	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36990	1535	515	1107	351	304	469	229	84	272	585	187	418
AT2G37000	0	0	1	0	0	0	0	0	0	0	0	0
AT2G37010	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37020	145	39	43	17	45	46	48	41	72	82	41	47
AT2G37025	0	0	0	3	0	4	26	1	12	7	1	2
AT2G37030	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37035	165	112	154	104	221	280	203	168	166	292	94	243
AT2G37040	154	84	145	773	513	438	1250	498	780	979	547	834
AT2G08850	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37050	392	120	210	276	187	236	245	115	190	442	294	440
AT2G37060	44	33	82	42	35	53	41	29	54	44	25	75
AT2G37070	2	0	0	0	0	0	5	0	0	0	0	0
AT2G37080	434	145	317	258	65	325	134	74	160	273	157	284
AT2G37090	0	13	8	0	2	0	3	2	1	7	1	6
AT2G37100	32	44	51	24	96	50	39	34	23	33	32	50
AT2G37110	809	573	952	2168	2891	1528	1922	1829	2520	1477	1671	2375
AT2G37120	215	148	165	129	204	140	175	160	164	225	127	99
AT2G37125	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37130	619	331	618	254	385	307	199	355	305	385	259	360
