	DC3000	delta	mock	SUPP1331
AT1G32580	5.08021588399272	4.37651842675048	5.28887789850037	4.74736049552747
AT1G32583	-1.03481877423089	-1.23154227811145	-0.0871910261299076	-0.798920275341144
AT1G32610	0.76563002629536	-1.3019292710122	-0.769674077802189	-0.835965926145348
AT1G32630	5.54391838915836	5.12615718775631	4.30318758430764	5.0947057935035
AT1G32640	9.15978090856947	7.97943198062756	5.35651389428537	7.91176268714664
AT1G32690	1.89500103259738	1.02706562292607	-1.73178726087118	0.33647284631883
AT1G32700	6.5375424020026	6.78932996347359	5.76426791118262	6.82993566341608
AT1G32730	1.48064843520484	1.17071651598161	1.66629232685135	1.39404023283388
AT1G32740	-0.0554840378789873	-2.54396708730456	-1.16403399556551	-0.225329851468431
AT1G32750	6.48869605934336	6.51051793135674	6.15523497820104	6.54712354164765
AT1G32760	-1.2268139246858	-0.555454527224758	0.429255974985336	-0.118492246174055
AT1G32790	6.80950860903912	5.87457512187655	5.50082828664536	6.18428572101101
AT1G32810	5.9013047401427	5.62549990469393	5.44712508949956	5.64213968492466
AT1G32860	5.18735677665011	5.29578561100038	4.1595109510567	5.32615674176739
AT1G32870	5.69643933284031	5.21981005309147	2.89255097467953	5.06820959033179
AT1G32900	6.53446464900009	3.95434698335654	3.58267179230871	4.21985059731783
AT1G32920	7.79534119509081	7.297824772507	4.81803267391183	7.03603343460037
AT1G32928	0.235811384816745	1.5640021308936	0.914284323701759	0.451611858907517
AT1G32930	0.31396134364636	-1.05949372912275	-1.60902689950556	-0.155250292362393
AT1G32940	4.68458916948962	3.0755398182171	1.35802592132407	3.0512627614133
AT1G32960	4.88319747461205	3.60377572112733	-0.679179826931756	3.93357583916073
AT1G32990	4.86305902316026	5.29327684905545	6.55868681838501	4.75809180764748
AT1G33030	-0.263770081215361	0.465358258550313	-3.55946763689219	0.264667900928539
AT1G33040	3.19581176057457	3.98174603522521	5.01301135689307	3.72704415757204
AT1G33050	4.5819494749414	4.67486698793291	4.09775602358735	4.75467468043628
AT1G33060	2.30373763407151	3.35595453985687	3.39517497888607	3.40990783698591
AT1G33080	0.337898330926811	0.356754974500657	-0.0364377880152686	0.478661680495558
AT1G33102	0.60235954354897	0.351636885963464	-0.22724407638756	-0.107073135377491
AT1G33110	7.51390689615511	5.64443599543702	2.45439736339877	5.24875660763989
AT1G33120	9.27815476867937	9.25817792170812	8.91151895501701	9.17354836854894
AT1G33140	8.81393798180746	8.8236374519675	8.72268618158695	8.67613330654137
AT1G33170	2.7340417742736	3.82862176461224	4.58320480130801	3.23750860205465
AT1G33230	5.67756925406673	5.41094446606669	5.5014411318178	5.28888612654886
AT1G33240	2.60266128149668	3.89870902623698	5.64687719185568	4.13376168080051
AT1G33250	3.57654423467829	3.50542333035566	2.76967914122873	3.15410884951942
AT1G33260	3.97716113667051	3.82076184606735	3.21276836470451	3.68061239982998
AT1G33265	2.07104571548774	1.87955731056944	3.17589233213562	2.57688486569277
AT1G33270	2.92833415677399	1.89181217814834	2.63114735743517	1.90117257943071
AT1G33290	4.34919449154556	4.79836786528552	5.41844803862539	4.70983672806549
AT1G33330	3.17933941444946	2.05573699806896	3.22576669214592	2.93523174936315
AT1G33340	-0.861545290501822	0.254112300411323	0.658532037241443	-0.867842189065212
AT1G33360	2.30042223626653	2.31413175645881	2.2146774863553	2.34962253391835
AT1G33390	3.42477184253648	3.88605912206558	2.98902930163441	3.98602709981516
AT1G33400	-0.458014718327798	0.891954084609929	1.08820819014022	-0.0795792933311157
AT1G33410	2.74252256288596	1.7961435866277	2.57063562901221	2.38918086198499
AT1G33415	2.39436139756875	2.29359641600664	2.50400933997791	2.00714791769997
AT1G33420	3.15126127383277	3.25782874944065	0.454913532930654	2.71408365330026
AT1G33440	-2.99677553599836	0.929900514161492	2.83972713008657	1.11356320862096
AT1G33470	3.90328292883306	4.36521468994208	4.97453148476137	4.56560847280795
AT1G33475	-3.18496900238585	0.240209195510066	-0.10997777070096	0.65059546140964
AT1G33480	-1.76801781078493	0.0495727148502813	0.797367487431178	-0.61574430166698
AT1G33490	3.36154423633211	3.19393312329105	4.4582107627554	3.69107735539565
AT1G33520	6.71913035099518	7.25616486688315	6.25603146081939	6.96689281086083
AT1G33560	3.41134218588798	4.5086384751489	3.23908344805285	4.43860159731588
AT1G33590	4.87353770024554	5.28225928740684	5.64771088743625	5.17610718960655
AT1G33600	2.78699995051235	3.47761260086373	5.12913263867566	3.9386189206356
AT1G33610	2.4142960286944	1.99851911625447	2.03711766955323	1.7992312011603
AT1G33615	-0.769474242048564	0.138751569926383	-2.6173773823652	0.0554256402449499
AT1G33680	2.99584347325805	2.52420785806296	3.3059368062599	2.92730843112423
AT1G33700	-0.645628426588179	-0.450142009484073	0.386470369253731	-0.688452355879717
AT1G33720	4.79229944839491	4.97117857555004	2.21570610116635	4.8500297334776
AT1G33780	3.58476656706	4.11511389677337	4.41174505885006	4.12301322602428
AT1G33800	4.2889989088575	4.95693986497855	-0.434312549903593	4.1567684352059
AT1G33810	5.44681532120655	5.56648216827892	7.24933124469743	5.99035585127444
AT1G33811	1.05275669055988	1.04217280586755	1.37334466892623	1.40838751012151
AT1G33940	2.19645113389965	1.22838029584033	-2.21850915043064	0.866414802395475
AT1G33950	2.75175055153473	1.88925647665706	-1.71762432467222	0.895373284162874
AT1G33960	10.0105657035761	9.83854684448939	5.45672009700838	9.49295354464521
AT1G33970	7.15389171874533	7.5838917797917	6.77512020912271	7.50405500488386
AT1G33980	6.06575226263658	5.5321653243814	4.43629585899747	5.52729257704002
AT1G33990	3.76224904144397	4.14451724779103	4.25891209460219	4.36103399517032
AT1G34000	6.80702925558037	7.14829288221948	7.78066854120744	7.18212933287414
AT1G34010	0.87834245824684	1.35097588240705	2.71945896990041	1.26351120492927
AT1G34020	3.23711259886026	3.36280530963969	3.78056624729616	3.11849529165803
AT1G34030	7.55643014427069	7.23243509660844	7.51555185496645	7.31985595627928
AT1G34065	-1.32579199623811	1.63606604027856	1.71215538144005	1.22149592431589
AT1G34110	1.03714447726519	0.615009918202887	1.43569665182892	1.19063063259754
AT1G34120	-0.886048520318288	0.115966460883459	-2.00651268102857	-0.449784558249405
AT1G34130	5.51389975828731	5.76213289712958	5.43356520866605	5.70975942958544
AT1G34150	3.34104487008556	2.84344416585573	2.66975525707679	3.11549614247222
AT1G34160	1.33529165153683	2.60997644131728	2.53932071256709	2.4762212356619
AT1G34180	2.32986575434435	2.76151634493359	1.00971337371976	2.4765735066186
AT1G34190	5.59890636562655	5.47890600779233	4.22246738936396	5.53898822002021
AT1G34200	2.45099928607948	3.60872893819608	3.35336763150802	3.26714893833422
AT1G34210	3.7739871428844	3.40449173990878	3.97368819452954	3.13160547010809
AT1G34220	4.33923531316826	4.2996202569606	4.09376640183001	4.16143070722806
AT1G34260	5.1387956095333	4.98355884254214	5.07638210589512	5.06096649665917
AT1G34270	1.92996406167954	0.874716521045487	1.65689948100248	1.6502256404781
AT1G34300	4.20650151512191	3.88083994401064	2.81388737133118	3.74739435836173
AT1G34315	1.03021722902699	1.48061624685526	1.27401391834968	1.72602218793244
AT1G34320	4.84015754139263	5.8625943690508	5.28759966083079	5.75104276915457
AT1G34340	3.21661045705286	2.86717676464449	2.88655118440622	2.3333829767833
AT1G34350	2.32170577380204	3.19508507754849	2.97791022171204	2.91539902579707
AT1G34360	2.02445261076186	1.0134113522971	0.621061549920698	1.13702120269633
AT1G34370	7.39352027250629	6.21846279402996	4.97794794720311	6.24744050718882
AT1G34380	2.11092969829479	1.95241810757734	2.13366456233693	2.16098493312333
AT1G34418	7.06948354098213	7.16720044421061	6.77024482487765	6.98415435737876
AT1G34420	3.8111445257863	3.5665468564427	0.0938466461004901	3.67762217842433
AT1G34430	3.01447020648134	2.8629509332275	4.34019826894824	3.18490125670265
AT1G34460	1.83331236121749	0.84957571976348	1.38424195923699	0.947198333066236
AT1G34470	1.83660080978127	1.95359629608432	2.51414195037842	2.34881940790789
AT1G34550	2.98689586033258	3.34915084555614	3.71117861745669	3.06918696584581
AT1G34570	1.6056383782617	2.18891099078954	2.84315111760298	1.56575962001039
AT1G34630	1.29131981539271	1.66802605050223	0.487714770885139	1.6500993484963
AT1G34640	1.3590078224444	1.41636741702817	2.79449357967379	1.94649233756727
AT1G34750	7.25033626905833	7.99665775907606	5.22661890227275	7.73332842850197
AT1G34760	2.94463797089911	2.96800678219914	3.76273755906618	3.18173704541472
AT1G34780	3.27639755668961	2.2396870396881	3.16461482588538	2.32289489514315
AT1G34844	-0.512903272709166	0.787551968057529	2.00052133391437	1.33505509848193
AT1G35160	9.68575370936413	9.81767216250187	8.88233668424894	9.67592310761268
AT1G35180	-1.02057278179207	0.00239241105524451	0.20414147404448	-2.58774451679908
AT1G35190	3.29516022580545	2.52053247041006	2.1517965310315	2.74729011156273
AT1G35210	6.30160618187658	6.94574541588877	3.09568752213759	6.98981728847482
AT1G35220	4.018871394406	4.11546520274631	4.02514679991388	4.30346863532728
AT1G35230	9.1747403919611	10.1908942205959	6.20367729799739	10.1585399641217
AT1G35260	2.04946908544985	0.821410319096616	0.09754401143067	0.835600690500872
AT1G35320	1.01197896905571	1.21900630878253	0.742776867751744	0.774217900790199
AT1G35340	3.08888687594932	3.04082406650862	4.06244605738907	3.1952060539039
AT1G35350	6.57398728073812	6.28340824253224	5.72287277629699	6.38829189966369
AT1G35420	4.21599114230194	4.71472841401867	5.34195292421736	4.57867045282773
AT1G35430	3.72372714296635	4.63582957826376	3.62896142509499	4.1823423775265
AT1G35460	2.15476121292302	2.0948267156057	3.2181841804134	1.76128521745316
AT1G35470	2.70833157763039	2.34329856202684	2.32479907836475	2.87785066772239
AT1G35510	3.53828106352347	2.75414696814443	2.70128583866397	3.0365816118353
AT1G35516	6.40384603093073	6.47422635658527	4.66427542476759	6.05389018245104
AT1G35560	1.32150999766324	2.39861950259981	2.71826220965082	2.51227246932546
AT1G35580	6.85689266790598	6.94913846484161	6.93015267207257	7.21840232263182
AT1G35620	4.64784418530834	5.6268846146202	5.716224626776	5.48024889844363
AT1G35660	0.89984420050259	0.671355857105041	-0.238751835614013	1.44825950074083
AT1G35670	2.51409585468003	3.84631242040514	3.03940484931935	2.96243705847965
AT1G35680	5.27371507484329	5.74595604246902	7.14831624894577	5.656609262022
AT1G35710	9.02923576880784	10.822360283643	8.30540620106666	10.7494827121164
AT1G35720	7.67287590681481	7.307405176001	7.37960604346561	7.53512228401182
AT1G35780	2.25100587102537	2.69698717317378	2.48732711732808	2.91465291583518
AT1G36050	5.11318912067961	4.75513333907102	3.83772072074657	4.40849822664848
AT1G36070	2.02665407213787	0.517993792620569	2.26255915791788	1.94846386474552
AT1G36160	4.9046672561293	3.87378434765417	4.45933588716507	4.1477862465734
AT1G36180	-0.0405364614639481	-0.425644914902748	1.55475313320167	-0.346474343305005
AT1G36280	3.87653396517176	4.16472892449988	4.40301698282415	4.29134430150154
AT1G36310	3.47376503267503	3.20064886287285	3.70079484475768	3.73960423272944
AT1G36320	3.62944343422836	3.5858344273889	4.65426112687442	4.00516610498093
AT1G36370	4.99941654013301	4.21526530202344	3.82042436252199	4.24887218332128
AT1G36380	5.18037522078354	4.85753744538193	5.44879527558359	5.12884834624774
AT1G36390	2.7123682382798	3.30950200939881	4.89323542349377	3.34051981001533
AT1G36622	3.63227950531924	4.24574330685678	0.488333023904624	4.61951649153633
AT1G06983	0.892656424408526	1.77563112007494	-1.86362523428879	2.40810175972236
