	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G02960	-0.660143169885109	-0.592788019020741	-1.51280409263111
AT1G03000	-2.18213508104652	-0.506471840241878	-0.743838321490965
AT1G03020	1.85310344905341	-0.396585380490071	-1.43255230825616
AT1G03080	1.15874321143642	0.314443584518238	0.373196234295144
AT1G03090	-3.38787994799574	-3.72967412922507	-1.45021588263322
AT1G03100	-2.45504887369699	-1.96609183459372	-2.21773773718577
AT1G03130	-1.82271967793929	-1.4017791363354	-1.17117361415177
AT1G03160	-1.20019449963205	-0.862229607251527	-1.57548380661465
AT1G03220	-0.163831326367637	0.323868598717767	1.04834240156838
AT1G03230	1.02727971897778	0.351579364449495	1.40699631960914
AT1G03290	1.457969232476	1.65745860049547	1.49310291918046
AT1G03310	-2.29265532101626	-1.87829662999325	-1.61976005272825
AT1G03350	0.63996257186909	0.700099009344863	1.1259290427883
AT1G03370	0.926310912477462	1.1953740404889	1.22220886831829
AT1G03410	-1.81803939560246	-1.06487639643388	-1.36702338245777
AT1G04183	-1.58665326631553	-0.913157258218643	-1.2497654570377
AT1G03440	-1.98679171831226	-1.05469288692968	-0.45652310610472
AT1G03475	-1.20786288811405	-0.750730794284459	-0.907711525364527
AT1G03550	-0.00130822856157087	-1.1780686045273	-1.83476701111935
AT1G03560	-2.01408007501271	-1.40825019654892	-0.509702323118153
AT1G03600	-2.83188944077438	-1.84435747122618	-1.54381433524536
AT1G03630	-2.83501097048092	-1.92141535357121	-1.83389454003009
AT1G03660	2.71005867143354	3.26203428176456	3.22570787102583
AT1G03680	-1.715262106765	-1.44270662105019	-1.31032276912026
AT1G03730	1.84149767415694	2.18852532252558	2.87962127193503
AT1G03740	1.06857667509805	0.497774296317065	0.6460173315591
AT1G03750	0.673705362049303	1.04687240809402	1.33723227016495
AT1G03760	1.31521519460766	-0.032042944134794	-0.0528301982171282
AT1G03770	5.06228268259631	4.65092775361528	3.03834519777471
AT1G03820	-2.12381080381259	-2.14378749304784	-2.72174240582603
AT1G03850	4.14705777078348	4.55715368161023	4.50073723384985
AT1G03870	-4.61301998537011	-3.01103752127365	-4.81395993919783
AT1G03970	-1.35390139953286	-0.364342050696324	-0.193328979114401
AT1G03990	6.81473877593166	0.896327622695886	1.57848835913909
AT1G04000	0.883138982627142	-1.09636404260929	-0.802218258913504
AT1G04040	-1.65471210093071	-1.99051363697094	-2.15397872374149
AT1G04050	-4.78471489755475	-2.74483181318694	-2.64922049248754
AT1G04220	1.13185135150107	0.572987425897443	0.750765637935193
AT1G04240	-1.55219599370055	-0.867232925927492	-1.21400114089359
AT1G04260	1.01756357916852	1.20492544559867	1.21315406794035
AT1G04310	1.25132201347241	1.77163323426921	1.70487866395437
AT1G04350	-1.25150666586154	-0.947102021310879	-1.19755692905243
AT1G04400	-1.10838769141502	-0.897825710283679	-0.768671657321486
AT1G04420	-1.10852673009339	-0.918415144860427	-0.960590197260397
AT1G04430	-1.01047095204388	-0.827858872229111	-0.872486944092269
AT1G04277	3.17840393540549	2.25830696468198	2.23417122703786
AT1G04490	8.93407747340187	5.06463615786584	4.58186168001842
AT1G04520	-2.53540739467116	-1.38433642373829	-1.13054943999875
AT1G04550	-1.19535317616726	-0.117147018738705	-0.30304639128441
AT1G04570	1.92408277554511	1.42095992885541	1.35162076174558
AT1G04620	-1.56078886719164	-1.37533181948634	-1.29260168226915
AT1G04680	-1.89482533255215	-1.08022480090241	-1.07830860209956
AT1G04710	-1.30945195215267	-0.780635756873813	-0.713193896231953
AT1G04770	-1.2991742784733	-0.493635578817647	-1.03319624337895
AT1G04780	1.63126542182371	1.02651127552784	0.896231286054383
AT1G04870	1.15997396529802	0.85325496244712	0.796909667718725
AT1G04945	1.42685229035122	1.02690455670597	0.691640705150613
AT1G04940	-1.84519573358837	-1.24778600430816	-1.38322807857906
AT1G04960	1.19463532520921	0.693138275576255	0.813170146055794
AT1G04980	0.453777977126617	1.32253189023051	1.01130440367722
AT1G04990	1.1693280975591	0.779115576948799	1.08301001782928
AT1G05010	2.13286530561911	1.38893066940522	1.52378353571268
AT1G05055	-1.48292533473889	-0.747272238731722	-0.788970333734345
AT1G05065	-2.1601791798768	-0.829489446946601	-1.57998066514654
AT1G05070	-0.609353517736762	-1.05774633766534	-0.901025377526477
AT1G05100	7.26139687631723	4.55293260062485	4.29962484907873
AT1G05140	-2.47658747432548	-1.48060174470751	-1.5734088808346
AT1G05190	-1.54722534844472	-1.13652547935937	-1.03323076744937
AT1G05340	0.718373243990406	1.49286717627581	0.973267136278929
AT1G05360	1.88704560699919	2.11584018481399	2.14978134674644
AT1G05385	-1.12920260366904	-1.07628156797651	-0.497903021086687
AT1G05410	1.14753071660921	0.829331643295674	0.908693416458339
AT1G05460	-1.5032801729891	-1.16719699969924	-0.74080663372755
