	DC3000	delta	mock	SUPP1331
AT1G04290	0.132516687832917	0.115144559154167	0.111192058620058	0.134143794862252
AT1G04295	0.992476989929233	0.529574539263355	0.732264009337169	0.881736152377719
AT1G04300	0.307048204770394	0.294640430947332	0.299490979951612	0.354582186664159
AT1G04310	0.380152980373482	0.303062432020226	0.508673176138801	0.359639531130567
AT1G04340	0.252882503252617	0.232955507173278	0.245760278072595	0.292528377899955
AT1G04350	0.154401723817684	0.1418816011001	0.121441898678377	0.166404731665484
AT1G04390	0.305446164820081	0.255705189894022	0.286574356301345	0.316483221699105
AT1G04400	0.174842623318723	0.156559130201125	0.143395689729804	0.192559475802015
AT1G04410	0.129183027634818	0.123658921648533	0.119629477375717	0.148599901743938
AT1G04420	0.181097549303434	0.165238221329294	0.146432914015936	0.199007515718263
AT1G04430	0.208137283864666	0.188130317234947	0.162196514992635	0.227361862336181
AT1G04440	0.274157480671737	0.266246728930163	0.213455397007863	0.301723728657065
AT1G04263	0.456154121440016	0.640323822018009	0.60345423166675	0.727042292466178
AT1G04480	0.167297541102021	0.158589692332123	0.159837753496864	0.195225673397115
AT1G04277	0.325721908118875	0.376387490323225	0.660195637247193	0.486305096022761
AT1G04490	0.260346240155088	0.756265180137119	1.52606124363099	0.874683763097279
AT1G04510	0.266002383028815	0.233982185771033	0.249795430351183	0.30833701069198
AT1G04520	0.657528299477223	0.36199820044346	0.253448226200182	0.49894589869554
AT1G04530	0.250625404544166	0.223130815433296	0.232122585440045	0.271964491702013
AT1G04550	0.195438357628618	0.14666617228922	0.135787283122684	0.171765159663069
AT1G04555	0.324577585961991	0.308536723127525	0.317207339438193	0.381803424003216
AT1G04570	0.530700928948714	0.596263500074668	0.839768461008721	0.682168243800092
AT1G04590	0.287194160360366	0.306874821592443	0.281942562328296	0.348803131728126
AT1G04620	0.326245915298828	0.27928487515585	0.200955666495427	0.349412129325686
AT1G04630	0.114646347027532	0.10800584784322	0.105707112813864	0.132026761733966
AT1G04640	0.0824623405168535	0.0735905391756144	0.0708114106019764	0.089705153264124
AT1G04680	0.219867097592545	0.178364888462696	0.159319057602209	0.217131375153156
AT1G04690	0.0820960121302655	0.0765987837104058	0.0775844129749051	0.0936917214852258
AT1G04710	0.323550504090565	0.250721393335397	0.20193599873282	0.309737339327724
AT1G04750	0.157192938993675	0.150272558225946	0.148441378405275	0.180991206040845
AT1G04770	0.185601525596247	0.168927352683933	0.154026264230163	0.195786475674868
AT1G04780	0.170771989599441	0.165621160471123	0.169250284212967	0.199714254194349
AT1G04790	0.234628822371482	0.214736776270843	0.200557251664083	0.27539262076473
AT1G04800	0.346182188304973	0.307347099111573	0.321341517217135	0.367631173341
AT1G04810	0.213415907891657	0.205618657869849	0.22296305671566	0.248768913673921
AT1G04820	0.139387127890675	0.131312441410076	0.128364621206352	0.159293115821144
AT1G04830	0.196509401036072	0.182295526673336	0.197259231118792	0.211413434386945
AT1G04850	0.138904930161276	0.131792102086157	0.131980050182651	0.159482221748274
AT1G04860	0.247669954873234	0.225020378316998	0.246422560244412	0.292952473137626
AT1G04870	0.180571174557354	0.176122102278539	0.201600876695046	0.213743194787052
AT1G04900	0.157273676248865	0.126679883145653	0.152247398587907	0.190617449342996
AT1G04910	0.335821374976057	0.290298764969056	0.272715665259319	0.341460492537868
AT1G04930	0.894788344727776	0.427792511167682	0.704591459385512	0.76052094553237
AT1G04945	0.24307152194631	0.258632663506926	0.308523507116991	0.297004646480611
AT1G04940	0.357652010428817	0.287853542501167	0.204847171443293	0.334526760751958
AT1G04950	0.329581204680162	0.305286960293594	0.334332133897092	0.404870905732014
AT1G04960	0.128443947083407	0.124195797176418	0.131137568054597	0.152062735987875
AT1G04970	0.200234144512875	0.198572589711761	0.175488995762094	0.247851096933337
AT1G04980	0.211583721563165	0.18952354574781	0.204667183124798	0.225302036792238
AT1G04985	0.113452947998715	0.107278623193092	0.113332465753021	0.133265374546912
AT1G04990	0.168726266046649	0.159533292771848	0.180598464747326	0.200415491044015
AT1G05000	0.86516180065333	0.638571595652202	0.935559878630935	0.761524118217982
AT1G05010	0.265497118580028	0.255974769196092	0.267412664416958	0.311409147016476
AT1G05030	0.25492488610786	0.241874346911427	0.230514088232845	0.290723960847932
AT1G05055	0.222323816879373	0.157663721008309	0.119610105814098	0.191890121422942
AT1G05060	0.235830712265634	0.220768821389153	0.206803411132201	0.257128856277433
AT1G05065	0.904980427088655	0.681142125745336	0.394105362764829	0.671271534942436
AT1G05070	0.259253629940475	0.25948779998929	0.202931690209919	0.324347596870938
AT1G05100	0.327757291507243	0.429684662462842	1.57976990024306	0.513636652145889
AT1G05120	0.133710124599629	0.126067648798495	0.133705012654141	0.144543926411247
AT1G05140	0.147140610943599	0.120662928951308	0.106221412068858	0.144801959584211
AT1G05150	0.387911515375224	0.307912101777274	0.376975618797091	0.443161465389673
AT1G05160	0.360921961411356	0.306423254465833	0.363365809358584	0.391660329436577
AT1G05170	0.479407900548309	0.395820656924523	0.453141390260152	0.500134686805015
AT1G05180	0.152767219995133	0.164045395560423	0.155007072443454	0.187813726508938
AT1G05190	0.157877136474475	0.146133852431832	0.139213698083306	0.177738134843898
AT1G05200	0.325822025107733	0.366792760705615	0.3283229332788	0.494003487972177
AT1G05205	0.513016929405848	0.417082293828364	0.346972603724204	0.457036189202993
AT1G05210	0.339081863171018	0.318604949081419	0.30027023795987	0.3997018923233
AT1G05230	0.257697279514119	0.249965128908851	0.213381987572761	0.314604981893423
AT1G04363	0.607309917650542	0.478132961534788	0.535321919762593	0.723001284105883
AT1G05270	0.0598867306516866	0.0550796808828413	0.0595728929066764	0.0688522477212479
