	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G02120	5.01234113299802	4.86750681711299	5.51850215383932	5.8063965222896	5.8709058975518	6.07892572595796	5.65171357589124	6.36498276765573	6.21376975955172	5.82094676849662	6.20599308987574	5.9123618895275
AT1G02130	6.50303065724914	6.71565132150335	6.50526368634493	6.95296887657783	6.61783304266535	6.58824160347539	6.83756503664069	6.9738059306516	7.02192462343236	6.34447534158553	6.96404857541801	7.02672300342207
AT1G02140	7.4936881411481	7.06983361539533	6.81149436015709	7.60914899865218	7.42018842002387	7.02948205771146	7.36612903538992	7.73747251638163	7.17031302735923	7.73900390853234	7.83297189052779	7.79348580220394
AT1G02145	3.6937642476103	3.5574854889098	4.1422805231948	4.07616602636265	2.43813870865462	3.42795468408117	1.68025581238683	1.90129917116641	3.62158775231748	3.00589334876412	2.62211410031396	2.79603125886713
AT1G02150	5.97633133461779	5.67296270632974	6.09157477036335	4.88408549354227	3.57186306838136	4.46792109139881	4.80151869512956	3.64013717966538	3.98630071370164	4.33105981771803	4.52466576019814	3.86465797805927
AT1G02160	4.85660532067664	5.32379504465816	4.86249127904828	3.93510077940249	5.10546726357958	4.26510420839913	4.69365140575588	4.77661968777406	4.61433193631469	4.49401932553532	4.77314207034176	4.55283560012557
AT1G02170	4.51017626393667	4.87281084897292	4.89109583523875	7.01201323087522	6.46194291268264	6.22601685232904	6.48837955675994	6.26295817060869	6.56186451642055	6.45843153088262	6.68800928888333	7.00688365006616
AT1G02180	-2.73585171659144	-0.757869952054072	-1.3201287952424	0.422394367722846	0.0740851380945781	-0.109179291549372	0.0064840447078223	1.12636572680118	1.17894579164404	1.42093084804296	1.1131004528261	-0.0564115527190106
AT1G02205	1.97564319005865	4.05416145721301	1.90694011330352	1.9394528039422	3.54319931012921	3.64802952252422	4.60568846800476	4.71932101827587	3.57251176062006	3.3756499687421	3.70421518052885	3.34351905416962
AT1G02220	-1.88785481003649	0.827092548667084	0.892864928091801	2.76408571743164	2.94124945538749	3.14204581199479	3.53897912553484	3.28556432165044	3.60215722236858	1.73961328342667	2.72251599727179	3.43187492859047
AT1G02230	0.368484943223298	-0.12983872944103	-0.387242991100934	3.93510077940249	3.93758313818972	3.14204581199479	3.71745443034108	3.24184294422112	4.10148965156404	3.32457578414783	3.10382263923809	3.55938835192474
AT1G02260	0.824863237883042	1.71343576687152	1.41026414500032	1.58678118562373	1.85835644703914	0.85911184872329	1.68025581238683	2.00955206181843	0.351782388506255	0.437050513406242	1.55561868852705	2.5374290993486
AT1G02270	4.91806815652799	4.72227764362332	4.92261227148585	6.76101549911844	7.12695503952038	6.40549188712539	7.10752174342397	6.80881417493914	7.46871320306769	6.43253503228375	6.98693888437552	6.80662750191627
AT1G02280	6.21659834176756	5.5787380381384	5.78934574062239	5.70779658658509	5.20336815503954	5.48230240255532	4.68294489991447	5.0502543987616	4.95791891233182	5.65169343513776	5.34536762209766	5.86906046863123
